Filename;image_width;image_height;make;model;orientation;x_resolution;y_resolution;resolution_unit;software;datetime;y_and_c_positioning;_exif_ifd_pointer;compression;jpeg_interchange_format;jpeg_interchange_format_length;exposure_time;f_number;exposure_program;photographic_sensitivity;exif_version;datetime_original;datetime_digitized;offset_time;offset_time_original;shutter_speed_value;aperture_value;brightness_value;exposure_bias_value;max_aperture_value;metering_mode;flash;focal_length;color_space;pixel_x_dimension;pixel_y_dimension;exposure_mode;white_balance;digital_zoom_ratio;focal_length_in_35mm_film;scene_capture_type;image_unique_id;Observations
araruama.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:33;1;226;6;802;62121;0.016666666666666666;2.0;2;80;None;2024:01:03 20:08:33;2024:01:03 20:08:33;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama1.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:21;1;226;6;802;46971;0.016666666666666666;2.0;2;100;None;2024:01:03 20:08:21;2024:01:03 20:08:21;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:08:08;1;226;6;802;53725;0.016666666666666666;2.0;2;100;None;2024:01:03 20:08:08;2024:01:03 20:08:08;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama3.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:57;1;226;6;802;48705;0.016666666666666666;2.0;2;100;None;2024:01:03 20:07:57;2024:01:03 20:07:57;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama4.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:38;1;226;6;802;50935;0.016666666666666666;2.0;2;160;None;2024:01:03 20:07:38;2024:01:03 20:07:38;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama5.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:07:23;1;226;6;802;45168;0.016666666666666666;2.0;2;100;None;2024:01:03 20:07:23;2024:01:03 20:07:23;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
araruama6.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:59;1;238;718;6;946;40556;0.016666666666666666;2.0;100;None;2024:01:03 20:06:59;2024:01:03 20:06:59;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;182813;182813;182813;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
beto_e_piu.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:14;1;238;718;6;946;41201;0.016666666666666666;2.0;160;None;2024:01:03 20:06:14;2024:01:03 20:06:14;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;926713;926713;926713;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:06:05;1;238;718;6;946;44072;0.016666666666666666;2.0;160;None;2024:01:03 20:06:05;2024:01:03 20:06:05;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;208894;208894;208894;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:29;1;238;718;6;946;46156;0.016666666666666666;2.0;125;None;2024:01:03 20:05:29;2024:01:03 20:05:29;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;082394;082394;082394;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
maya2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:48;1;238;718;6;946;38811;0.016666666666666666;2.0;125;None;2024:01:03 20:05:48;2024:01:03 20:05:48;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;495358;495358;495358;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
og_araruama.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:40:47;1;226;6;802;40839;0.0004224757076468103;2.0;2;50;None;2023:07:27 08:40:47;2023:07:27 08:40:47;-03:00;-03:00;0.0004224757076468103;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama1.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:40:14;1;226;6;802;57813;0.0005120327700972862;2.0;2;50;None;2023:07:27 08:40:14;2023:07:27 08:40:14;-03:00;-03:00;0.0005120327700972862;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:19:37;1;226;6;802;54537;0.0004224757076468103;2.0;2;50;None;2023:07:27 08:19:37;2023:07:27 08:19:37;-03:00;-03:00;0.0004224757076468103;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama3.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXS7DWE4;2023:07:25 13:15:57;1;226;6;802;59958;0.0004897159647404506;2.0;2;50;None;2023:07:25 13:15:57;2023:07:25 13:15:57;-03:00;-03:00;0.0004897159647404506;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama4.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:29 14:33:18;1;226;6;802;53791;0.0009250693802035153;2.0;2;50;None;2023:12:29 14:33:18;2023:12:29 14:33:18;-03:00;-03:00;0.0009250693802035153;2.0;0.0;0.0;2.0;3;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama5.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:12:29 14:33:39;1;226;6;802;43213;0.00026322716504343247;2.0;2;50;None;2023:12:29 14:33:39;2023:12:29 14:33:39;-03:00;-03:00;0.00026322716504343247;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama6.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:01 14:56:21;1;226;6;802;51077;0.016666666666666666;2.0;2;64;None;2024:01:01 14:56:21;2024:01:01 14:56:21;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_beto_e_piu.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:08:06 20:24:52;1;238;798;6;1026;61106;0.041666666666666664;2.0;2;400;None;2023:08:06 20:24:52;2023:08:06 20:24:52;None;4.584;2.0;-1.35;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;990902;990902;990902;None;1;8000;6000;None;1;1;0;0;25;0;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
og_maya.jpg;8160;6120;samsung;SM-S901E;6;72.0;72.0;2;S901EXXS7CWK2;2023:12:22 21:33:39;1;226;6;868;45660;0.041666666666666664;1.8;2;800;None;2023:12:22 21:33:39;2023:12:22 21:33:39;-03:00;-03:00;None;4.59;1.69;-4.33;0.0;1.8;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;308;308;308;1;8160;6120;0;0;1.35;23;0;O10XSOD00CM;sem obs
og_maya1.jpg;8160;6120;samsung;SM-S901E;1;72.0;72.0;2;S901EXXS7CWK2;2023:12:23 00:24:27;1;226;6;818;44393;0.03333333333333333;1.8;2;640;None;2023:12:23 00:24:27;2023:12:23 00:24:27;-03:00;-03:00;0.03333333333333333;1.69;0.0;1.69;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;928;928;928;1;8160;6120;0;0;1.65;23;0;O10XSOD00CM;sem obs
og_maya2.jpg;8160;6120;samsung;SM-S901E;6;72.0;72.0;2;S901EXXS7CWK2;2023:12:23 00:24:39;1;226;6;818;60805;0.03333333333333333;1.8;2;640;None;2023:12:23 00:24:39;2023:12:23 00:24:39;-03:00;-03:00;0.03333333333333333;1.69;0.0;1.69;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;294;294;294;1;8160;6120;0;0;1.65;23;0;O10XSOD00CM;sem obs
og_pandora.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:29 14:34:20;1;226;6;802;59562;0.008333333333333333;2.0;2;80;None;2023:12:29 14:34:20;2023:12:29 14:34:20;-03:00;-03:00;0.008333333333333333;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;2.03;25;0;A48QSLA01PM;sem obs
og_pingo.jpg;8160;6120;samsung;SM-S901E;6;72.0;72.0;2;S901EXXS7CWK2;2023:12:22 21:32:24;1;226;6;868;43450;0.041666666666666664;1.8;2;800;None;2023:12:22 21:32:24;2023:12:22 21:32:24;-03:00;-03:00;None;4.59;1.69;-4.42;0.0;1.8;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;035;035;035;1;8160;6120;0;0;2.07;23;0;O10XSOD00CM;sem obs
og_pingo1.jpg;8160;6120;samsung;SM-S901E;6;72.0;72.0;2;S901EXXS7CWK2;2023:12:23 00:24:49;1;226;6;818;44430;0.03333333333333333;1.8;2;640;None;2023:12:23 00:24:49;2023:12:23 00:24:49;-03:00;-03:00;0.03333333333333333;1.69;0.0;1.69;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;848;848;848;1;8160;6120;0;0;1.65;23;0;O10XSOD00CM;sem obs
og_pingo2.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:08:13 18:50:42;1;226;6;802;52035;0.041666666666666664;2.0;2;250;None;2023:08:13 18:50:42;2023:08:13 18:50:42;-03:00;-03:00;0.041666666666666664;2.0;0.0;0.0;2.0;3;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;3.12;25;0;A48QSLA01PM;sem obs
og_ryan.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:10:26 15:44:23;1;226;6;802;56527;0.006329113924050633;2.0;2;50;None;2023:10:26 15:44:23;2023:10:26 15:44:23;-03:00;-03:00;0.006329113924050633;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.95;25;0;A48QSLA01PM;sem obs
og_ryan1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:30 22:35:56;1;226;6;782;52383;0.05;2.0;2;800;None;2023:12:30 22:35:56;2023:12:30 22:35:56;-03:00;-03:00;0.05;2.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.39;25;0;A48QSLA01PM;sem obs
og_toy.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:24 21:49:49;1;226;6;782;57231;0.05;2.0;2;800;None;2023:12:24 21:49:49;2023:12:24 21:49:49;-03:00;-03:00;0.05;2.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_toy1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:24 21:49:20;1;226;6;802;52839;0.041666666666666664;2.0;2;500;None;2023:12:24 21:49:20;2023:12:24 21:49:20;-03:00;-03:00;0.041666666666666664;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
pandora.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:21;1;226;6;802;53874;0.016666666666666666;2.0;2;100;None;2024:01:03 20:05:21;2024:01:03 20:05:21;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
pato.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:03:16 17:27:57;1;238;798;6;1026;40235;0.016666666666666666;2.0;2;100;None;2024:03:16 17:27:57;2024:03:16 17:27:57;None;5.906;2.0;-2.64;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;983672;983672;983672;None;1;8000;6000;None;1;1;0;0;25;0;A48QSLA01PM A48QSLA01PM;0;0.0;(0.0, 0.0, 0.0);1970:01:01;sem obs
pc.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2024:03:16 17:28:45;1;238;798;6;1026;41148;0.016666666666666666;2.0;2;200;None;2024:03:16 17:28:45;2024:03:16 17:28:45;None;5.906;2.0;-3.64;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;296608;296608;296608;None;1;8000;6000;None;1;1;0;0;25;0;A48QSLA01PM A48QSLA01PM;0;0.0;(0.0, 0.0, 0.0);1970:01:01;sem obs
pingo.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:05:15;1;238;718;6;946;42007;0.016666666666666666;2.0;125;None;2024:01:03 20:05:15;2024:01:03 20:05:15;None;5.906;2.0;0.0;2.0;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;498215;498215;498215;None;1;8000;6000;None;1;0;25;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
pingo1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:04:49;1;226;6;802;59181;0.016666666666666666;2.0;2;160;None;2024:01:03 20:04:49;2024:01:03 20:04:49;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
pingo2.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:04:34;1;226;6;802;54648;0.016666666666666666;2.0;2;160;None;2024:01:03 20:04:34;2024:01:03 20:04:34;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
ryan.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 20:03:51;1;226;6;802;59178;0.016666666666666666;2.0;2;125;None;2024:01:03 20:03:51;2024:01:03 20:03:51;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
ryan1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 18:22:01;1;226;6;802;48945;0.016666666666666666;2.0;2;160;None;2024:01:03 18:22:01;2024:01:03 18:22:01;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
toy.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 18:20:04;1;226;6;802;53545;0.016666666666666666;2.0;2;160;None;2024:01:03 18:20:04;2024:01:03 18:20:04;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
toy1.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:03 18:20:35;1;226;6;802;53150;0.016666666666666666;2.0;2;160;None;2024:01:03 18:20:35;2024:01:03 18:20:35;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
